run_index,variant,traffic_class,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,ingress_packets,egress_packets,matched_packets,unmatched_ingress,unmatched_egress,drop_rate_pct,rst_ingress,rst_egress
6,extraction,opcua_opn,0.004935,-0.048399,0.620127,0.620127,0.533188,10.000000,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,extraction,opcua_other,0.038895,-0.203848,0.581026,1.671076,1.292862,29527.000000,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,extraction,opcua_all_8666,0.027529,-0.102043,0.552893,0.710964,0.981545,59073.000000,59073.000000,59073.000000,0.000000,0.000000,0.000000,29536.000000,29536.000000
7,forward,opcua_opn,0.035858,-0.009537,0.397921,0.397921,0.294422,10.000000,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,forward,opcua_other,0.035936,-0.138044,0.452042,0.719786,1.128462,29527.000000,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,forward,opcua_all_8666,0.018863,-0.000954,0.429153,0.528097,0.831749,59074.000000,59074.000000,59074.000000,0.000000,0.000000,0.000000,29537.000000,29537.000000
7,extraction,opcua_opn,0.052333,0.115871,0.574827,0.574827,0.477593,10.000000,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,extraction,opcua_other,0.019375,-0.206947,0.594854,1.477957,1.250213,29527.000000,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,extraction,opcua_all_8666,0.016935,-0.000119,0.567198,0.938892,0.939053,59074.000000,59074.000000,59074.000000,0.000000,0.000000,0.000000,29537.000000,29537.000000
8,forward,opcua_opn,-0.301719,-0.031590,0.446081,0.446081,0.878921,10.000000,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,forward,opcua_other,0.015006,-0.154018,0.480890,1.323938,1.225886,29527.000000,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,forward,opcua_all_8666,0.008872,0.001550,0.458002,0.736952,0.906190,59074.000000,59074.000000,59074.000000,0.000000,0.000000,0.000000,29537.000000,29537.000000
8,extraction,opcua_opn,0.127602,0.112534,1.900911,1.900911,0.891731,10.000000,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,extraction,opcua_other,0.031139,-0.221968,0.603914,1.638174,1.271921,29527.000000,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,extraction,opcua_all_8666,0.022404,-0.103951,0.581980,0.881195,0.971602,59073.000000,59073.000000,59073.000000,0.000000,0.000000,0.000000,29536.000000,29536.000000
9,forward,opcua_opn,0.020719,-0.000477,0.346184,0.346184,0.302773,10.000000,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,forward,opcua_other,0.046171,-0.146866,0.482082,1.166821,1.199638,29527.000000,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,forward,opcua_all_8666,0.023688,0.001550,0.459909,0.597000,0.882790,59074.000000,59074.000000,59074.000000,0.000000,0.000000,0.000000,29537.000000,29537.000000
9,extraction,opcua_opn,-0.036883,0.018477,0.663042,0.663042,0.652233,10.000000,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,extraction,opcua_other,0.017679,-0.223160,0.597954,1.360893,1.222527,29527.000000,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,extraction,opcua_all_8666,0.012470,0.001431,0.574827,0.931025,0.912648,59074.000000,59074.000000,59074.000000,0.000000,0.000000,0.000000,29537.000000,29537.000000
10,forward,opcua_opn,-0.000858,0.080109,0.389099,0.389099,0.371936,10.000000,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,forward,opcua_other,0.019333,-0.138998,0.468016,1.456976,1.175262,29527.000000,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,forward,opcua_all_8666,0.012289,-0.002384,0.442028,0.873804,0.886209,59074.000000,59074.000000,59074.000000,0.000000,0.000000,0.000000,29537.000000,29537.000000
10,extraction,opcua_opn,0.049663,0.086069,0.644922,0.644922,0.493383,10.000000,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,extraction,opcua_other,0.004959,-0.206947,0.585794,1.616955,1.266241,29527.000000,29527.000000,29527.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,extraction,opcua_all_8666,0.016077,-0.002503,0.561953,1.097918,0.970725,59074.000000,59074.000000,59074.000000,0.000000,0.000000,0.000000,29537.000000,29537.000000
